ID,Eesti keel,Inglise keel,Saksa keel,Vene keel,Soome keel,Seletus,,Kirjeldus
3300,tiguülekanne,"worm gear, wormgear set, worm gearing","Schneckengetriebe n, Schneckenradsatz m, Schneckentrieb m",передача червячная,"kierävaihde, kierukkavaihde",Teost ja tigurattast koosnev mehhanism pöörlemise ülekandmiseks kiivsate telgede vahel,,
3301,tihe puiste,closed coating,geschlossene Streuung f,плотная посыпка ж,,Lihvmaterjali terade tihe paiknemine,,
3302,tihe tekstuur,"fine grain, close grain",dichte Textur f,частая текстура ж,"hienosyinen, hienosäikeisyys",Tihedalt paiknevate joontega tekstuur,,
3303,tihe virnastus,"tight stacking, solid stacking, close stacking, solid piling",dichte Stapelung f,плотная укладка ж,tiivis pinous,Materjali väikese täiteteguriga virnastus,,
3304,tihedus,density,Dichtigkeit f,плотность ж,tiheys,Ruumalaühiku mass,,
3305,tihend,"packing, seal, gasket",Dichtung f,"сальник, прокладка",tiiviste,"Masinaelement, mis väldib või vähendab vedeliku, auru või gaasi läbivoolu detailidevahelisest pilust",,
3306,tihendamine,packing,Dichten n,"уплотнение, герметизация","tiivistys, tiivistäminen","Vedeliku, gaasi või auru läbivoolu vältimine või takistamine detailidevahelisest pilust",,
3307,tihendi,thickener,Verdicker m,сгуститель м,sakeutin,Tehnoloogiline seade massi kontsentreerimiseks,,
3308,tihkestatud õli,(heat) bodied oil,Verdichtes Öl n,сгущёное масло ср,,Inertses atmosfääris termiliselt polümeriseeritud taimeõli,,
3309,tihumeeter,"solid cubic meter, festmeter",Festmeter n,плотный кубометр м,kiintokuutiometri,"Puidukoguse mõõt, mis põhineb puidu mõõtmetel",,
3310,tihvt,"pin, guide pin",Stift m,"шпилька, штифт","tappi, puunaula, puutappi","Silindriline või kooniline metallpulk, millega ühendatakse liikumatult 2 masinadetaili või fikseeritakse nad koostamisel",,
3311,tiiblaud,clap table,Flügeltisch m,ссол с откидной крышкой,klahvipöytä,Ühe- või kaheosalise plaadiga klapplaud,,
3312,tiiboks,"splay knot, splash knot, spike knot, horn knot",Flügelast m,"продолговатый сучок м, лапчатый сучок м",sarvioksa,"Kandioks, mille suurima ja vähima läbimõõdu suhe suurem kui 4",,
3313,tiikpuu - suur,"teak,  Indonesian teak",Teakholz n indonesisches,"тик м, тиковое дерево ср",?,"Tectona grandis. Puitu kasutatakse tisleritoodete valmistamisel, laevaehituses, ehituspuiduna. ",,
3314,"tiiviklus, keerdumus","twist, winding","Verdrehung f, Flügligkeit f",крыловатость,kierous,Laikülgne spiraalikujuline kaardumus saematerjali pikkuses,,
3315,"tikk-, augu-, orasaag",compass saw,Stichsäge f,"узкая ножовочная пила, узкая прорезная пила, узкая ножовка",pistosaha,"Kitsa, aheneva saelehega, räsamata hammastega käsisaag puuritud avade suurendamiseks ja kõverjooneliseks saagimiseks",,
3316,tikk.,match,Streichholz n,спичка ж,"tulitikku, tikku","Ühest otsast süüteseguga kaetud pulgake, mida kasutatakse tule süütamiseks",,
3317,tikksaagmasin,"portable keyhole saw, stick-saw",Hand-Stichsägemaschine f,лобзик с электроприводом,sähköinen pistosaha,Elektriajamiga teisaldatav edasi-tagasi liikuva saelehega masin kõverjooneliseks saagimiseks,,
3318,tiksotroopne värv,thixtropic paint,thixotropische Farbe f,тиксотропная краска ж,tiksotrooppinen maali,"Värv, mis mehaanilise välisjõu toimel muutub voolavaks ja välisjõu toime lakkamisel taastab geelistruktuuri",,
3319,tikukarbi toorik,skillet,Streichholzschachtelrohstück n,заготовка ж спичечной коробки,vaneriviilu,Pooltoode tikukarbi valmistamiseks,,
3320,tikukarbispoon,box veneer,Streichholzschachelfurnier n,шпон м для спичечной коробки,vaneriviilu,Spoon tikukarpide valmistamiseks,,
3321,tikupakk,match block,Streichholzblock m,спичечный кряж/чурак м,"tulitikkulaatikko, tulitikkurasia",Tikutööstuse toore,,
3322,tikuspooni koorimine,flaking,Steichholzfurnierschälen n,лущение ср шпона для спичек,tulitikku lastutus,Tikupaku töötlemine spoonikoorimispingis,,
3323,tikutraat,"splint, match sticks","Streichholzdraht m, Streichholzband n",спичечная лента ж,tulitukkusäle,Toorik tikkude valmistamiseks,,
3324,tipulõtk,tip cap,Spitzenspielraum m,пиковый зазор м,,Sõrme tipu ja vastasoleva sisselõike põhja vahekaugus sõrmseotises,,
3325,tipunurk,point angle,Spitzenwinkel m,угол при вершине,kärkikulma,Kahe spiraalpuuri lõikeserva omavaheline nurk puuri tipus,,
3326,"tisler, laudsepp?","joiner, benchman, cabinet maker","Tischler m, Tischlermeister m",столяр,puuseppä,"Töömees/meister, kes tegeleb tisleritöödega",,
3327,tisleri tapipeitel,mortise chisel?,"Lochbeitel m, Locheisen n, Schroteisen n",доото столярное,kourutaltta,Suurema paksusega lõikeriist sügavate pesade raiumiseks puitu,,
3328,tislerilintsaag,bench band saw,"Tischlerbandsäge f, Tischlerbandsägemaschine f, Tischbandsäge f",столярный лентоснопильный станок,puusepän vannesaha,"Lintsaagimismasin, mille lindiratta läbimõõt ei ületa  ca 1 m",,
3329,tisleripingi plaat,,Bankplatte f,крышка верстака,,Tisleripingi tööplaat,,
3330,"tisleripink, höövelpink, kruupink","carpenter`s bench,  joiner`s bench","Hobelbank f, Werkbank f",столярный верстак,höyläpenkki,Puidust tööpink tisleritöö tegemiseks,,
3331,tisleriplaat,"blockboard, core board, strip board",Tischlerplatte f,столярная плита ж,"rimalevy, sälelevy","Kihtpuit, mille keskkihi moodustavad 7-30 mm laiused kokkuliimitud või -liimimata puitribid",,
3332,tisleripuit,"carpentry timber, cabinet timber, cabinet wood",Tischlerholz n,столярная древесина ж,puusepän puutavara,Tisleritööks kasutatav puit,,
3333,"tisleritooted, laudsepatooted","joinery, millwork",Tischlerwaren pl,столярные изделия,puusepäntuoteet,"Hästi töödeldud pinnaga ja täpselt ühendatuddetailidega puittooted, erinevad puusepatöödest täpsema töötluse poolest",,
3334,"tisleritöö, laudsepatöö","joinery, woodwork, timbering, cabinet work",Tischlerarbeit f,столярная работа,puusepäntyö,Tisleritoodete valmistamisega seoses olevad tööd,,
3335,toiteava,spout,Speiseöffnung f,"горловина ж, питательное отверстие ср",syöttöreikä,"Ava, mille kaudu suunatakse seadmesse töödeldav materjal",,
3336,tolerants,tolerance,Toleranz f,допуск,toleranssi,Toote suurima ja vähima piirmõõtme vahe,,
3337,tollipulk,"folding ruler, four-fold rule",Zollstock m,складная линейка,nivelmitta,Jäik kokkuklapitav mõõtevahend lineaarmõõtmetele tolli- kui ka sentimeetriskaalaga,,
3338,tolmamine,"linting, dusting",Stauben n,пыление ср,pölyntä,Paberi pinnakihist väikeste aineosakeste eraldumine,,
3339,tolmukindlad prillid,dust-proof goggles,Staubdichte Schutzbrille f,очки пылезащитные,pölyä silmälasit,Vastu nahka liibuvad pehmest plastikust raamiga kaitseprillid,,
3340,tolmumask,dust mask,Staubmaske f,маска пылезащитная,pölynsuojanaamari,Hingamisteid tolmu ja kahjulike aurude eest kaitsev filtriga mask,,
3341,toodangu omahind,manufacturing cost,Selbstkosten,себестоимость продукции,tuotantokustannusten,Ettevõtte kulud toodangu tootmiseks ja realiseerimiseks rahalises väljenduses,,
3342,tool,"chair, seat",Stuhl. m,стул,tuoli,Nelja jalaga ja seljatoega üheinimeseiste,,
3343,toonimine,"toning, feathering",Tonung f,тонирование с,"sävytys, värjäys",Mingile pinnale värvustooni andmine värvaine või peitsiga,,
3344,toonirike,bleeding,Tonfehler m,дефект м цветового тона,,aluskihi läbitungimisest tekkinud viimistlusrike,,
3345,toores puit,green timber,frisches Holz n,сырая древесина ж,tuore puutavara,"Puit, mida ei ole kuivatatud rakuseinte küllastuspiirini või alla selle",,
3346,"toorhape, tornihape","raw acid, tower acid",Rohsäure f,сырая кислота ж,raakahappo,Happevalmistamise esimeses staadiumis saadav täiendavat kontsentreerimist vajav sulfitkeedu hape,,
3347,toorik,blank,Rohling m,заготовка ж,aihio,"Kindlate mõõtmetega pooltoode, mille edasisel töötlemisel saadakse valmistoode",,
3348,tooriku kinnitussüsteem,workpiece clamping system,Werkstückspannung f,"зажим, закрепление детали/заготовки",aihion kiinnitysjärjestelmä,Süsteem tooriku/detaili kinnitamiseks ja baseerimiseks masinas,,
3349,tootmisjäätmed ,industrial waste,Industrieabfälle pl,промышленные отходы мн,valmistusjättet,Tootmise käigus tekkivad taaskasutatavad ja mittekasutatavad jäägid,,
3350,tootmisniiskus,manufacturing moisture ,Bearbeitungsfeuchtigkeit f  ,пpoиэвoдcтвeннaя влaжнocть ,, Puidu töötlemiseks ettenähtud niiskuse aste,,
3351,tootmisprotsess,"production process, manufacturing process","Produktionsprozess n, Produktionsprozeß m",производственный процесс,tuotantoprosessi,"Kõikide protsesside kogum tootmises, mis on seotud materjali muundamisega tooteks",,
3352,tootmisvõimsus,manufacturing capacity,Kapazität,пройзводственная мощность,tuotantokapasiteetti,Ettevõtte või selle allüksuse suurim võimalik toodangu väljalase või töödeldava tooraine hulk ajaühikus,,
3353,tootmisüksus,unit,Produktionseinheit f,производственная единица ж,tuotantoyksikkö,Tootmissfääris toimiv majandusüksus,,
3354,topeltkõverusega painutatud toorik,reentrant bend,doppelgebogenes Rohling n,заготовка ж с двойным изгибом,taivutettu,Kahe kõverusega toorik,,
3355,"topeltpits, topeltnõel",,Doppelnadel f,игла прямая двухконцевая,kaksikärkineula,Kahest otsast teritatud  pikk sirge nõel polstrit läbivate õmbluste tegemiseks ja nööbinööride paigaldamiseks,,
3356,topeltsäsi,double pith,doppeltes Mark n,двойная сердцевина ж,,"Ümarmaterjali ühel otsal nähtavad kaks iseseisvatest kasvurõngastest ümbritsetud säsi, mis on ümbritsetud ühe perifeerse kasvurõngaste süsteemiga",,
3357,toplainer,topliner,Deckschicht f des Kartons,топлайнер м,kartongin pintakerros,Mitmekihilise papi pealmine paremate omadustega kiht,,
3358,torkimine (immutuseelne töötlus),incision,Stechen n,накалывание ср,pistäminen,Sisendavade tekitamine raskeltimmutatavasse puitu immutusprotsessi kiirendamiseks,,
3359,tpi,teeth per inch,Zähne pro Zoll,количество зубьев пилы со дна впадины,hammasta tuumalla,Hammaste arv ühel tollil hambavahede põhjast mõõdetuna,,
3360,T-raamtappseotis,T-bridle joint,offene Schlitz und Zapfen T-verbindung f,"угловое серединное соединение на шип, вязка шиповая тавровая",T-tappiliitos,Raami keskpuu seotis piki- või põikiraampuuga,,
3361,traatalus,,Drahtunterlage f,основание пружин из стальной проволоки,lankaperusta,Omavahel läbi põimitud ja pingutatud terastraatidest mööblikarkassi traatalus püstvedrude kinnitamiseks,,
3362,trahheiid,tracheid,Tracheide f,трахейда,trakeidi,"Okaspuidule iseloomulik väljavenitatud kujuga rakk, mis täidab  mehaanilist ja transpordifunktsiooni",,
3363,transportkuiv puit?,shipping dry timber,verladetrockenes Holz n,транспортносухая древесина ж,laivauskuiva puutavara,"Puit, mille niiskussisaldus on küllalt madal selleks, et piirata värvusmuudatusi, hallitust ja seenhaigusi transpordil. Normaalselt on transportkuiva puidu niiskussisaldus 18-22%",,
3364,transportniiskus,shipping moisture,Verladefeuchte f,транспортная влажность ж,vientikuiva,"Niiskussisaldus, mis on küllalt madal selleks, et piirata puidu värvusmuudatusi, hallitust ja seenhaigusi transpordil. Normaalselt on transportkuiva puidu niiskussisaldus 18-22%",,
3365,"transportöör, konveier","conveyor, feeder",Förderer m,"транспортёр м, конвейер м",kuljetin,Transpordimasin lasti teisaldamiseks pideva vooluna,,
3366,treimine,turning,"Drechseln n, Drehbearbeitung f","точение, вытачивание",sorvaus,"Lõiketöötlemise viis, kus toorikule antakse pöördliikumine ja lõikurile töödeldud pinna sihiline kulgliikumine",,
3367,treipadrun - universaalne,combination chuck,Universalfutter n,патрон универсальный,yhdistelmäistukka,Mitmesuguseid treitooriku haardevõimalusi võimaldav padrun treipingis,,
3368,treipeitel,turning chisel,Drechlerbeitel m,токарный резец,"sorvin terä, sorvitaltta",Lõikeriist treimistöödel,,
3369,treipink,lathe,"Drehmaschine f, Drehbank f, Drechlerbank f",токарный станок,sorvankone,Masin treimistöödeks,,
3370,treipuit,turning timber,Drechslerholz n,древесина пригодная для токарных работ,"sorvitukki, vaneripölkky",Treimistöödeks kõlbulik puitmaterjal,,
3371,"treispoon, kooritud spoon",rotary cut veneer,geschältes Furnier n,лущёный шпон м,"sorvattu viilu, vanerisorvilla leikattu viilu",Spoonikoorimispingis ümarpuidu pinnalt õhukese kihi mahalõikamise tulemusena saadav spoon,,
3372,treitsenter,back/dead center,Spitze f,центр токарного станка,"keskipiste, kara",Treitooriku kinnitusvahend treipinki,,
3373,trepi astmelaud,tread,Trittstufe f,"ступенька ж, подножка ж",,Trepimarsi rõhtne käimiseks kasutatav laud,,
3374,trepi jooks,,Auftritt n,проступь,,Trepiastme ülalt projekteeruv laius,,
3375,trepi põskpuu,string,Treppenwange f,тетива ж,,Trepimarsi astme- ja varvaslaudu siduv külgpuu,,
3376,trepi tõus,riser,Steigung f,подъём м лестницы,,Trepiastme kõrgus,,
3377,trepi varvaslaud,riser,Setzstufe f,подступенок м,,Trepimarsi astmelaudade vahel paiknev püstine laud,,
3378,trepikäsipuu,"rail, falling mould",Treppengeländer n,поручень м,porraskaide,Trepi külgpiirdele kinnitatud käele mugava ristlõikega latt,,
3379,"trepimade, podest","landing, half space",Podest n,площадка ж лестничная,porrastasanne,Rõhtne vaheplatvorm trepikojas,,
3380,"trepimarss, trepikäik",flight,Treppenarm m,марш м лестничный,porrasvarsi,Astmestik kahe trepimademe vahel,,
3381,triibuline tekstuur,"stripe figure, ribbon figure",gestreifte Textur f,полосатая текстура ж,juovarakenne,Troopiliste puiduliikide puidus esinev vihma- ja kuivaperioode kajastavate triipudega  tekstuur,,
